# DevOps 平台 Lessons Learned Log

> **说明**：本文件由 AI 自动维护，按时间倒序记录实战中发现的隐蔽风险与排障结论。
> **【强制更新规范】**
> 1. **单一主表原则**：所有新增经验必须**倒序**统一追加到下方的 Markdown 主表格中。**绝对严禁**在主表格之外另起任何零散的 `列表`、`次级小表格` 或 `### 分割的小标题`。
> 2. **记录门槛**：不记成功的流水账，只记录由于框架机制、脏数据或跨端约束导致的非直觉类障碍。
> 3. **字段约定**：The Defense 栏必须使用粗体加粗一句话结论，随后跟上落地措施。

| Timestamp | Domain | Phenomenon | Root Cause | Universal Rule (The Defense) |
| :--- | :--- | :--- | :--- | :--- |
| 2026-04-23 | Security/Tools | detect-secrets 报 FileNotFoundError: git | 在容器内运行 detect-secrets 失败，因为轻量级生产/测试镜像中未安装 git 工具链。 | **左移工具宿主隔离律 (Shift-Left Host Isolation)**: 强依赖工程本地元数据（如 `.git` 树）的静态扫描工具（detect-secrets, pre-commit）必须在宿主机通过 `uv run` 执行，严禁强行下沉到生产容器栈内运行。 |
| 2026-04-23 | Security/Tools | safety 输出无效 JSON 导致脚本崩溃 | `safety check --json` 在输出顶部强行打印了一段纯文本的 Deprecation Warning，导致整体输出不再是合法 JSON。 | **CLI 纯净提取防御 (CLI JSON Defend)**: 严禁盲目信任外部 CLI 工具的 `--json` 标志。必须使用正则表达式 `re.search(r'\{.*\}', text, re.DOTALL)` 对输出流进行硬提取，以屏蔽各种弃用警告或调试前缀。 |
| 2026-04-20 | Plugin/Nexus | `NotNullViolation` in `nexus_components` (repository) | `session.add(obj)` followed by `save_to_staging` triggered a flush via `begin_nested()`. Since the object was in the session but non-nullable fields weren't set yet, the the automatic flush failed. | **非空约束前置赋值律 (Pre-flush Assignment Rule)**: 1. 严禁在设置完所有 `NOT NULL` 字段前将对象加入 `session` 或触发任何可能导致 `flush` 的操作（如 `begin_nested`）。2. 必须在构造函数中完成所有必填项初始化。 |
| 2026-04-20 | Plugin/Nexus | Missing `repository` field in component API items | Nexus API `list_components` items may lack the `repository` field in some versions, causing `KeyError` or `NotNullViolation`. | **源端映射冗余性原则 (Source ID Redundancy)**: 1. 批量保存方法必须显式接收 `repository` 名作为兜底。2. 严禁仅依赖 API 原始 Payload 中的字段进行核心实体对齐，必须穿透任务上下文中的环境信息。 |
| 2026-04-20 | Plugin/Sonar | Transactional Ghosting (Missing commits) | Worker logged success but database counts remained zero due to a missing `session.commit()` in the task processing loop. | **显式事务落盘律 (Explicit Transaction Commit)**: 插件 Worker 必须在 `process_task` 完成所有核心入库逻辑后执行显式 `session.commit()`。严禁仅依赖 `session.close()` 或 `flush()` 进行静默持久化。 |
| 2026-04-20 | Plugin/Sonar | SonarQube Project Discovery 403 (Forbidden) | Default Scan Token used in `.env` only has analysis upload rights, lacking project listing/search permissions. | **API 权限最小非对等审计 (API Scope Audit)**: 1. 采集插件所需的 Token 必须具备“资产发现”集权限（如 Administrator/User Token）。2. 在大规模资产同步前，必须先执行 Whoami 与 Search 探测脚本验证 Token 深度权限。 |
| 2026-04-20 | AI/Process | Handover DoD Violation (Summary vs Physical Log) | Agent prioritized generating the summary response over the mandatory physical log updates (Race condition in intent). | **交接日志物理先行律 (Log-First Handover)**: 任何宣告“交接完成”的指令，必须在同一回合包含日志文件 (session-history/lessons-learned) 的物理更新。严禁在文件落盘前输出任何带有“圆满完成”语义的总结。 |
| 2026-04-20 | dbt/Schema | Silent model breakage after field rename | Core schema refactor (e.g. `committed_date` -> `committed_at`) passed Python ingestion tests but killed 15+ dbt models and downstream metrics. | **dbt 全量建模审计律 (The Law of dbt Audit)**: 1. 凡涉及 Staging 层字段更名或重构，**必须**在交付前执行容器内 `make dbt-build`。2. 严禁仅凭数据库入库逻辑正确作为交付 DoD 标准。 |
| 2026-04-20 | Plugin/ZenTao | ZenTaoSettings attribute mismatch | Config assumed `username` but ZenTaoClient v2 requires `account`. Calling `.login()` is deprecated. | **双重协议对齐审计 (Dual Protocol Alignment)**: 1. 插件配置变量名必须与 Client 实例化参数 1:1 对齐。2. 必须废弃显式 `.login()` 调用，统一由 Client 内部实现 Token 自动刷新与连接探测。 |
| 2026-04-20 | MQ/Linux | AMQP EACCES (Erlang Cookie) | Anonymous volumes on Windows/WSL2 inheriting host permissions that block RabbitMQ internal cookie access. | **卷权限全量重置律 (Total Volume Reset)**: 环境崩溃或 MQ 启动异常时，必须执行 `docker-compose down -v` 强行抹除卷缓存并重建，严禁尝试手动修正卷内权限。 |
| 2026-04-15 | Testing/Mock | httpx.AsyncClient mocking in local scope | `httpx` locally imported in router causes `patch` to fail if targetting the module-local name. Sync methods like `json()`/`raise_for_status()` on `AsyncMock` resp fail if not properly awaited or if they aren't async. | **局部 Mock 与同步探针隔离 (Local Mock & Sync Isolation)**: 1. 局部 import httpx 时，patch 目标应为全局 `httpx.AsyncClient`。2. Mock 响应对象的同步方法（`json`, `status_code`）必须使用 `MagicMock` 或显式定义返回值，严禁混用 `AsyncMock` 导致 `coroutine not awaited` 警告。 |
| 2026-04-15 | RBAC/Schema | Import/Attribute errors when injecting SysPermission | Assumed a separate SysPermission model existed based on generic RBAC patterns while system uses Menu-Role merged model. | **显性定义权限模型协议 (Explicit RBAC Protocol)**: 1. 任何非常规建模范式（如“菜单即权限”）必须硬化写入 `contexts.md`。2. 测试中模拟权限必须通过创建 `SysMenu(perms="...")` 实例，严禁凭经验猜测模型类名。 [Codified into Skill: mdm-integrity-arbiter at 2026-04-15] |
| 2026-04-15 | Testing/Audit | Unit test failures during full coverage audit | Module-level `dependency_overrides` and `TestClient` in unit tests polluted global environment during concurrent discovery. | **测试固件局部隔离 (Fixture Local Isolation)**: 1. 涉及全局 `app` 的依赖覆盖必须下沉至 `fixture` 作用域。2. 必须在 `yield` 后执行 `.clear()`，严禁在模块顶层设置持久化的全局副作用。 [Codified into Skill: mdm-integrity-arbiter at 2026-04-15] |
| 2026-04-15 | Dash/SQL | `UndefinedColumn: column "web_url" does not exist` | SQL query directly referenced `@hybrid_property` in GitLabCommit model which has no physical persistence. | **物理列存在性物理审计 (The Law of Physical Persistence)**: 1. 编写看板 SQL 前必须通过 `grep` 或 `view_file` 确认字段是否为物理列。2. 严禁基于内存定义的逻辑属性直接进行原生的 SQL SELECT 操作。 [Codified into Skill: mdm-integrity-arbiter at 2026-04-15] |
| 2026-04-14 | AI/Audit | Blind Overwrite of Historical Logs | Using `write_to_file` with `Overwrite: true` without pre-reading context erased 100+ entries. | **禁绝盲写与强制前置取证 (No Blind Writes & Pre-read Mandatory)**: 1. 修改已存在文档（.log/.md）严禁使用 `write_to_file`。2. 必须先通过 `view_file` 建立物理快照，再使用 `replace_file_content` 进行增量合并，确保工程审计链完整。 |
| 2026-04-14 | Sonar/Arch | SonarQube N+1 query bottlenecks in transformer | Individual DB lookups for project IDs during issue batch transformation. | **内存域映射加载 (O(1) Memory Mapping)**: 1. 采集转换器 (Transformer) 必须采用“一次性批量拉取 ID 集 + 内存 Map 映射”模式。2. 严禁在批量转换循环内执行单条 SQL 查询，将同步效率由 O(N) 优化至 O(1)。 |
| 2026-04-14 | MQ/Infra | AMQP Connection Refused on Scheduler start | Scheduler started before RabbitMQ finished AMQP port (5672) binding despite Healthy status. | **MQ 指数退避重试 (MQ Backoff Retry)**: 1. 业务端连接 MQ 必须实现指数退避重试，严禁单纯依赖容器 Healthy 状态。2. 在 `mq.py` 中引入连接重试装饰器，增强环境启动韧性。 |
| 2026-04-14 | Testing | AuditPublisherThread timeout / PID Explosion | Resource starvation (MQ Alarms) triggered by test loops combined with ghost volume permissions. | **全量卷清洗与孤立审计 (Total Volume Re-sanitization)**: 1. 面对挂起超时错误，必须执行 `docker-compose down -v` 彻底清理卷权限与残留句柄。2. 必须重置 MQ 内存水线 (VM High Watermark) 防止生产者挂起并触发 PID 爆炸。 |
| 2026-04-14 | Data/SQL | PostGreSQL specific syntax errors (PRAGMA) in tests | Hardcoding SQLite commands (`PRAGMA`) in shared integration test setup without engine awareness. | **数据库方言隔离原则 (DB Dialect Isolation)**: 1. `PRAGMA` 等指令必须包裹在 `if "sqlite" in str(engine.url)` 判断中。2. 集成测试环境迁移至 PG 时，必须执行物理 Schema 取证 (`\dt`) 代替逻辑臆测表名。 |
| 2026-04-14 | AI/Agent | Rule 9: Question-word safety break triggered too late | AI prioritized "Action Impulse" over the mandatory Semantic Anchor checkpoint. | **执行态强解锁协议 (Execution Lock Protocol)**: 1. 凡包含“？”“吗”等词汇的语句，AI 必须强制挂起所有写权限并反向确认。2. 在 `AGENTS.md` 加入物理红线：违规修改代码将导致 L4 归位审核失败。 |
